Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginsSuite,,,2018-06-15 16:44:07,2018-06-15 16:44:08,1.479s,ERROR
,,,,,,
Test Cases/DataDrivenExample,,,2018-06-15 16:44:07,2018-06-15 16:44:08,1.029s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Logins),,,2018-06-15 16:44:07,2018-06-15 16:44:08,0.731s,PASSED
,,,,,,
Test Cases/DataDrivenExample,,,2018-06-15 16:44:08,2018-06-15 16:44:08,0.055s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Logins),,,2018-06-15 16:44:08,2018-06-15 16:44:08,0.037s,PASSED
,,,,,,
Test Cases/DataDrivenExample,,,2018-06-15 16:44:08,2018-06-15 16:44:08,0.063s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Logins),,,2018-06-15 16:44:08,2018-06-15 16:44:08,0.047s,PASSED
