Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
QC Analyst,Firefox 61.0,User must have QC Analyst role,2018-07-23 13:15:21,2018-07-23 13:17:26,2m - 4.664s,PASSED
,,,,,,
Test Cases/DavidsonQueryTest,Firefox 61.0,Opens the Davidson Project in the QC analyst environment and checks the Project Items grid to be sure '1072' items are found\n\nRequires QCAnalyst role,2018-07-23 13:15:21,2018-07-23 13:15:45,23.709s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:15:22,2018-07-23 13:15:23,1.205s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:15:23,2018-07-23 13:15:27,4.062s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:15:27,2018-07-23 13:15:28,0.598s,PASSED
setText,Firefox 61.0,,2018-07-23 13:15:28,2018-07-23 13:15:28,0.109s,PASSED
setText,Firefox 61.0,,2018-07-23 13:15:28,2018-07-23 13:15:28,0.084s,PASSED
click,Firefox 61.0,,2018-07-23 13:15:28,2018-07-23 13:15:33,5.269s,PASSED
waitForElementClickable,Firefox 61.0,,2018-07-23 13:15:33,2018-07-23 13:15:36,2.522s,PASSED
click,Firefox 61.0,,2018-07-23 13:15:36,2018-07-23 13:15:36,0.471s,PASSED
click,Firefox 61.0,,2018-07-23 13:15:36,2018-07-23 13:15:37,0.470s,PASSED
click,Firefox 61.0,,2018-07-23 13:15:37,2018-07-23 13:15:37,0.342s,PASSED
setText,Firefox 61.0,,2018-07-23 13:15:37,2018-07-23 13:15:37,0.125s,PASSED
click,Firefox 61.0,,2018-07-23 13:15:37,2018-07-23 13:15:37,0.326s,PASSED
check,Firefox 61.0,,2018-07-23 13:15:37,2018-07-23 13:15:38,0.989s,PASSED
verifyElementText,Firefox 61.0,,2018-07-23 13:15:38,2018-07-23 13:15:41,2.394s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:15:41,2018-07-23 13:15:45,4.372s,PASSED
,,,,,,
Test Cases/CreateProjectWithFootprint,Firefox 61.0,"Calls create project to create ATPProjectFootprint with HoustonBayArea as footprint. Deletes project if it exists, then recreates it\n\nRequires System Admin role (in order to delete the project if it already exists)",2018-07-23 13:15:45,2018-07-23 13:16:11,25.975s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:15:45,2018-07-23 13:15:45,0.150s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:15:45,2018-07-23 13:15:48,2.802s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:15:48,2018-07-23 13:15:49,0.541s,PASSED
setText,Firefox 61.0,,2018-07-23 13:15:49,2018-07-23 13:15:49,0.083s,PASSED
setText,Firefox 61.0,,2018-07-23 13:15:49,2018-07-23 13:15:49,0.067s,PASSED
click,Firefox 61.0,,2018-07-23 13:15:49,2018-07-23 13:15:51,2.116s,PASSED
waitForElementClickable,Firefox 61.0,,2018-07-23 13:15:51,2018-07-23 13:15:51,0.017s,PASSED
click,Firefox 61.0,,2018-07-23 13:15:51,2018-07-23 13:15:51,0.281s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:15:51,2018-07-23 13:16:07,15.989s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:16:07,2018-07-23 13:16:11,3.824s,PASSED
,,,,,,
Test Cases/GeneratePyramids,Firefox 61.0,"Opens the Davidson project, clears the working set, filters the project itesm to a small set using name='DavCo_AA', adds them to the working set, opens the working set and executes the generate pyramids process\n\nRequires QCAnalyst role",2018-07-23 13:16:11,2018-07-23 13:16:33,22.058s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:16:11,2018-07-23 13:16:11,0.120s,PASSED
